model,declared_pcf,pred_median,pred_lo90,pred_hi90,pred_lo95,pred_hi95,error,abs_error,in_90pct_ci,model_key,declared,brand,year,tier,signed_residual
iphone 14 pro max,73.0,66.5752690791269,52.15917690625691,80.19332375493957,48.67066769526935,83.26346122442439,-6.4247309208731025,6.4247309208731025,True,iphone 14 pro max,73.0,Apple,2022,Flagship,6.4247309208731025
iphone 13,64.0,60.75558435087078,46.74180173191455,75.0388953824316,43.25971129421553,78.01135603797852,-3.2444156491292233,3.2444156491292233,True,iphone 13,64.0,Apple,2021,Flagship,3.2444156491292233
iphone 15,56.0,61.82146965670055,47.36505506736862,75.74938425926858,44.22859292421011,78.81863010407811,5.82146965670055,5.82146965670055,True,iphone 15,56.0,Apple,2023,Flagship,-5.82146965670055
iphone 14,61.0,65.7819612775061,51.35010665732086,80.06771499154112,48.41761031491815,83.50204873367917,4.781961277506099,4.781961277506099,True,iphone 14,61.0,Apple,2022,Flagship,-4.781961277506099
iphone 14 pro,65.0,62.627369322720966,48.312170259619414,76.61502435642838,45.212118193651605,79.67732118917932,-2.3726306772790338,2.3726306772790338,True,iphone 14 pro,65.0,Apple,2022,Flagship,2.3726306772790338
iphone 12,70.0,65.61293831516846,51.2681407723458,79.51131677769774,47.726559039287245,82.72275270310524,-4.3870616848315365,4.3870616848315365,True,iphone 12,70.0,Apple,2020,Flagship,4.3870616848315365
pixel 8 pro,87.0,80.8924786273779,65.64006223419891,95.6143558889731,61.84559335600832,99.04638254476474,-6.107521372622102,6.107521372622102,True,pixel 8 pro,87.0,Google,2023,Flagship,6.107521372622102
pixel 7,67.0,73.88769282179743,58.68323125260124,88.26607503682435,55.04465078324295,91.46256965565796,6.88769282179743,6.88769282179743,True,pixel 7,67.0,Google,2022,Flagship,-6.88769282179743
pixel 6,85.0,74.43368198177376,59.15443163807292,88.66237985596185,55.75607770357929,91.55678122178396,-10.56631801822624,10.56631801822624,True,pixel 6,85.0,Google,2021,Mid-range,10.56631801822624
galaxy s23 ultra,70.6,70.25181355150809,54.45101376764408,87.48859109222987,50.85752814098736,90.87867663861992,-0.3481864484919015,0.3481864484919015,True,galaxy s23 ultra,70.6,Samsung,2023,Flagship,0.3481864484919015
iphone 15 pro max,75.0,70.13386552375982,55.56215905898983,84.10464299487532,52.337570168681495,87.09703043070836,-4.866134476240177,4.866134476240177,True,iphone 15 pro max,75.0,Apple,2023,Flagship,4.866134476240177
galaxy s23,54.0,66.2140623246303,50.47328653174996,83.24091858431748,47.25857449998121,86.84774239970531,12.214062324630303,12.214062324630303,True,galaxy s23,54.0,Samsung,2023,Flagship,-12.214062324630305
iphone 15 pro,66.0,71.41879721391345,57.32637329381856,85.24582940683744,53.848624660707785,88.43914044384863,5.41879721391345,5.41879721391345,True,iphone 15 pro,66.0,Apple,2023,Flagship,-5.41879721391345
