budget,total_cost,pcf_reduction_kg,optimised_pcf,selected_levers,n_levers
0.0,0.0,0.0,46.192,,0
5.0,0.0,0.0,46.192,,0
10.0,8.0,0.603,45.589,display_opt,1
15.0,15.0,1.064,45.128,recycled_mat,1
20.0,20.0,2.833,43.359,grid_decarb,1
25.0,25.0,3.41,42.782,efficient_chip,1
30.0,28.0,3.436,42.756,grid_decarb|display_opt,2
35.0,33.0,4.013,42.179,display_opt|efficient_chip,2
40.0,40.0,4.474,41.718,recycled_mat|efficient_chip,2
45.0,45.0,6.243,39.949,grid_decarb|efficient_chip,2
50.0,45.0,6.243,39.949,grid_decarb|efficient_chip,2
55.0,53.0,6.846,39.346,grid_decarb|display_opt|efficient_chip,3
60.0,60.0,7.307,38.885,grid_decarb|recycled_mat|efficient_chip,3
65.0,60.0,7.307,38.885,grid_decarb|recycled_mat|efficient_chip,3
70.0,68.0,7.91,38.282,grid_decarb|recycled_mat|display_opt|efficient_chip,4
75.0,68.0,7.91,38.282,grid_decarb|recycled_mat|display_opt|efficient_chip,4
80.0,68.0,7.91,38.282,grid_decarb|recycled_mat|display_opt|efficient_chip,4
85.0,68.0,7.91,38.282,grid_decarb|recycled_mat|display_opt|efficient_chip,4
90.0,68.0,7.91,38.282,grid_decarb|recycled_mat|display_opt|efficient_chip,4
95.0,68.0,7.91,38.282,grid_decarb|recycled_mat|display_opt|efficient_chip,4
100.0,68.0,7.91,38.282,grid_decarb|recycled_mat|display_opt|efficient_chip,4
105.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
110.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
115.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
120.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
125.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
130.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
135.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
140.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
145.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
150.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
155.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
160.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
165.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
170.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
175.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
180.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
185.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
190.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
195.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
200.0,103.0,8.389,37.803,grid_decarb|battery_nextgen|recycled_mat|display_opt|efficient_chip,5
